Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
24,3,2022-12-07,31-117,MIL,,SAC,W (+13),1,29:11,5,11,.455,2,5,.400,2,2,1.000,1,5,6,6,1,0,1,3,14,13.5,+4
25,4,2022-12-09,31-119,MIL,@,DAL,W (+1),1,31:13,6,17,.353,2,8,.250,5,6,.833,0,3,3,5,1,1,1,2,19,13.4,+6
26,5,2022-12-11,31-121,MIL,@,HOU,L (-5),1,6:29,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,-1.4,+3
27,6,2022-12-13,31-123,MIL,,GSW,W (+17),1,28:51,6,13,.462,3,7,.429,5,5,1.000,0,4,4,3,0,0,3,2,20,12.8,+14
28,7,2022-12-15,31-125,MIL,@,MEM,L (-41),1,22:23,1,12,.083,1,8,.125,0,0,,0,2,2,5,1,0,4,5,3,-5.9,-28
29,,2022-12-17,31-127,MIL,,UTA,W (+26),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
30,,2022-12-19,31-129,MIL,@,NOP,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
31,,2022-12-21,31-131,MIL,@,CLE,L (-8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
32,,2022-12-23,31-133,MIL,@,BRK,L (-18),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
33,,2022-12-25,31-135,MIL,@,BOS,L (-21),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
34,,2022-12-28,31-138,MIL,@,CHI,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
35,,2022-12-30,31-140,MIL,,MIN,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
36,,2023-01-01,31-142,MIL,,WAS,L (-23),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
37,,2023-01-03,31-144,MIL,,WAS,W (+10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
38,,2023-01-04,31-145,MIL,@,TOR,W (+3),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
39,,2023-01-06,31-147,MIL,,CHO,L (-29),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
40,,2023-01-09,31-150,MIL,@,NYK,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
41,,2023-01-11,31-152,MIL,@,ATL,W (+9),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
42,,2023-01-12,31-153,MIL,@,MIA,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
43,,2023-01-14,31-155,MIL,@,MIA,L (-16),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
44,,2023-01-16,31-157,MIL,,IND,W (+13),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
45,,2023-01-17,31-158,MIL,,TOR,W (+8),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
46,,2023-01-21,31-162,MIL,@,CLE,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
47,8,2023-01-23,31-164,MIL,@,DET,W (+20),0,15:19,3,7,.429,2,4,.500,0,0,,2,0,2,4,0,0,6,3,8,1.3,-1
48,9,2023-01-25,31-166,MIL,,DEN,W (+8),0,14:55,3,8,.375,2,4,.500,2,2,1.000,0,2,2,3,1,0,1,2,10,7.5,+8
49,10,2023-01-27,31-168,MIL,@,IND,W (+10),0,14:41,7,13,.538,0,4,.000,3,3,1.000,0,4,4,4,2,0,2,0,17,14.7,+21
50,11,2023-01-29,31-170,MIL,,NOP,W (+25),0,17:32,4,9,.444,1,3,.333,0,0,,0,3,3,4,1,1,2,1,9,7.3,+2
51,12,2023-01-31,31-172,MIL,,CHO,W (+9),0,19:53,4,10,.400,2,4,.500,8,8,1.000,0,3,3,3,1,0,3,2,18,12.8,+13
52,13,2023-02-02,31-174,MIL,,LAC,W (+1),0,19:59,6,14,.429,2,6,.333,2,3,.667,1,6,7,2,0,0,1,2,16,10.3,+1
